,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro,label assortativity,feature assortativity,cluster coefficient,average shortest path,average degree
267,SAGE,0.50.50.5220,0.7018544935805991,0.3567839195979899,0.7018544935805991,0.3567839195979899,0.5,0.5,0.5,2,20
268,SAGE,0.50.50.5240,0.9229671897289586,0.4271356783919598,0.9229671897289586,0.4271356783919598,0.5,0.5,0.5,2,40
269,SAGE,0.50.50.535,0.9101283880171184,0.3366834170854271,0.9101283880171184,0.3366834170854271,0.5,0.5,0.5,3,5
270,SAGE,0.50.50.5320,0.5805991440798859,0.236180904522613,0.5805991440798859,0.236180904522613,0.5,0.5,0.5,3,20
271,SAGE,0.50.50.545,0.543509272467903,0.2462311557788944,0.543509272467903,0.2462311557788944,0.5,0.5,0.5,4,5
272,SAGE,0.50.90.0125,0.9914407988587732,0.2814070351758794,0.9914407988587732,0.2814070351758794,0.5,0.9,0.01,2,5
273,SAGE,0.50.90.01220,0.8787446504992867,0.2160804020100502,0.8787446504992867,0.2160804020100502,0.5,0.9,0.01,2,20
274,SAGE,0.50.90.01240,0.9329529243937232,0.1557788944723618,0.9329529243937232,0.1557788944723618,0.5,0.9,0.01,2,40
275,SAGE,0.50.90.0132,0.8730385164051355,0.1155778894472361,0.8730385164051355,0.1155778894472361,0.5,0.9,0.01,3,2
276,SAGE,0.50.90.0135,0.9757489300998572,0.1809045226130653,0.9757489300998572,0.1809045226130653,0.5,0.9,0.01,3,5
277,SAGE,0.50.90.01320,0.8031383737517832,0.1909547738693467,0.8031383737517832,0.1909547738693467,0.5,0.9,0.01,3,20
278,SAGE,0.50.90.0142,0.9643366619115548,0.1557788944723618,0.9643366619115548,0.1557788944723618,0.5,0.9,0.01,4,2
279,SAGE,0.50.90.0145,0.9971469329529244,0.1909547738693467,0.9971469329529244,0.1909547738693467,0.5,0.9,0.01,4,5
280,SAGE,0.50.90.0172,0.6904422253922967,0.3567839195979899,0.6904422253922967,0.3567839195979899,0.5,0.9,0.01,7,2
281,SAGE,0.50.90.225,0.9215406562054208,0.1658291457286432,0.9215406562054208,0.1658291457286432,0.5,0.9,0.2,2,5
282,SAGE,0.50.90.2220,1.0,0.9949748743718592,1.0,0.9949748743718592,0.5,0.9,0.2,2,20
283,SAGE,0.50.90.2240,1.0,0.9949748743718592,1.0,0.9949748743718592,0.5,0.9,0.2,2,40
284,SAGE,0.50.90.232,0.9386590584878745,0.3819095477386934,0.9386590584878745,0.3819095477386934,0.5,0.9,0.2,3,2
285,SAGE,0.50.90.235,0.7146932952924394,0.3919597989949748,0.7146932952924394,0.3919597989949748,0.5,0.9,0.2,3,5
286,SAGE,0.50.90.2320,1.0,1.0,1.0,1.0,0.5,0.9,0.2,3,20
287,SAGE,0.50.90.242,0.9400855920114124,0.3517587939698492,0.9400855920114124,0.3517587939698492,0.5,0.9,0.2,4,2
288,SAGE,0.50.90.245,0.8316690442225392,0.7135678391959799,0.8316690442225392,0.7135678391959799,0.5,0.9,0.2,4,5
289,SAGE,0.50.90.525,0.8131241084165478,0.3517587939698492,0.8131241084165478,0.3517587939698492,0.5,0.9,0.5,2,5
290,SAGE,0.50.90.5220,0.746077032810271,0.3417085427135678,0.746077032810271,0.3417085427135678,0.5,0.9,0.5,2,20
291,SAGE,0.50.90.5240,0.9643366619115548,0.4120603015075377,0.9643366619115548,0.4120603015075377,0.5,0.9,0.5,2,40
292,SAGE,0.50.90.535,0.7860199714693296,0.3768844221105528,0.7860199714693296,0.3768844221105528,0.5,0.9,0.5,3,5
293,SAGE,0.50.90.5320,1.0,0.4422110552763819,1.0,0.4422110552763819,0.5,0.9,0.5,3,20
294,SAGE,0.50.90.545,0.8174037089871612,0.3567839195979899,0.8174037089871612,0.3567839195979899,0.5,0.9,0.5,4,5
295,SAGE,0.90.10.0125,0.9044222539229672,0.2763819095477386,0.9044222539229672,0.2763819095477386,0.9,0.1,0.01,2,5
296,SAGE,0.90.10.01220,0.9472182596291012,0.1105527638190954,0.9472182596291012,0.1105527638190954,0.9,0.1,0.01,2,20
297,SAGE,0.90.10.01240,0.9971469329529244,0.4070351758793969,0.9971469329529244,0.4070351758793969,0.9,0.1,0.01,2,40
