,la,fa,cl,asp,ad,train acc micro,test acc micro,train acc macro,test acc macro
60,0.5,0.1,0.5,2.0,20.0,0.42368045649072755,0.20100502512562815,0.42297032259632195,0.20014405729687276
61,0.5,0.1,0.5,2.0,40.0,0.42368045649072755,0.20100502512562815,0.42297032259632195,0.20014405729687276
62,0.5,0.1,0.5,3.0,5.0,0.42368045649072755,0.20100502512562815,0.42297032259632195,0.20014405729687276
63,0.5,0.1,0.5,3.0,20.0,0.42368045649072755,0.20100502512562815,0.42297032259632195,0.20014405729687276
64,0.5,0.1,0.5,4.0,5.0,0.4950071326676177,0.271356783919598,0.4950251011324184,0.2688088722871332
65,0.5,0.5,0.01,2.0,5.0,0.48216833095577744,0.49246231155778897,0.4815143658869031,0.4901974304722282
66,0.5,0.5,0.01,2.0,20.0,0.5677603423680456,0.271356783919598,0.5662865187203683,0.27260459640578777
67,0.5,0.5,0.01,2.0,40.0,0.44650499286733236,0.39195979899497485,0.4467643308333086,0.3920264552443338
68,0.5,0.5,0.01,3.0,2.0,0.4693295292439372,0.4623115577889447,0.4682609520960315,0.4627158120829007
69,0.5,0.5,0.01,3.0,5.0,0.44935805991440797,0.48743718592964824,0.4457076108772927,0.4863828002947762
70,0.5,0.5,0.01,3.0,20.0,0.47788873038516405,0.46733668341708545,0.4774473575009597,0.4633749700391013
71,0.5,0.5,0.01,4.0,2.0,0.5249643366619116,0.49748743718592964,0.5225611848761373,0.4907870098048016
72,0.5,0.5,0.01,4.0,5.0,0.5192582025677603,0.21608040201005024,0.5182779779988425,0.21393982290872854
73,0.5,0.5,0.01,7.0,2.0,0.4978601997146933,0.46733668341708545,0.4951395541676732,0.47006063631153755
74,0.5,0.5,0.2,2.0,5.0,0.5691868758915835,0.7889447236180903,0.5676024816261755,0.7883037238458925
75,0.5,0.5,0.2,2.0,20.0,1.0,1.0,1.0,1.0
76,0.5,0.5,0.2,2.0,40.0,1.0,1.0,1.0,1.0
77,0.5,0.5,0.2,3.0,2.0,0.5035663338088445,0.49748743718592964,0.49206630618593017,0.4873769110388828
78,0.5,0.5,0.2,3.0,5.0,0.43509272467902993,0.507537688442211,0.41881924760350075,0.4723583311371369
79,0.5,0.5,0.2,3.0,20.0,0.854493580599144,0.7286432160804021,0.8533978618141296,0.7104737291693815
80,0.5,0.5,0.2,4.0,2.0,0.6048502139800286,0.5025125628140703,0.6032196365823671,0.4838684919863935
81,0.5,0.5,0.2,4.0,5.0,0.5235378031383737,0.4824120603015075,0.5235652761469319,0.4779632999997931
82,0.5,0.5,0.5,2.0,5.0,0.442225392296719,0.32160804020100503,0.45003922003204544,0.30111597584825867
